Job Link,Role,Company Name,Job Location,Minimum Experience,Tech Stack Requirements,Ideal/Not Ideal,Phone Number,Email ID
https://www.hirist.com/j/frontend-developer-reactjs-1-5-yrs-1004109.html,Frontend Developer - React.js,"SquarerootBangalore
1 - 5 Years",Bangalore,1,"ReactJS, JS, Node",Not Ideal,,
https://www.hirist.com/j/frontend-developer-reactjsjavascript-1-3-yrs-1004902.html,Frontend Developer - React.js/Javascript,"FameFlockBangalore
1 - 3 Years",Bangalore,1,"ReactJS, JS",Ideal,,
https://www.hirist.com/j/idesignmarket-frontend-developer-javascript-1-3-yrs-1004783.html,iDesign.Market - Frontend Developer - Javascript,"iDesign.MarketAny Location
1 - 3 Years",Any Location,2,"ReactJS, HTML/CSS, JS",Not Ideal,,
https://www.hirist.com/j/frontend-developer-reactjsangularjs-1-4-yrs-1004961.html,Frontend Developer - React.js/AngularJS,"InnovationMDelhi NCR
1 - 4 Years",Delhi NCR,1,"ReactJS, Angular, HTML/CSS, JS",Not Ideal,,
https://www.hirist.com/j/frontend-developer-javascriptreactjs-1-8-yrs-1004042.html,Frontend Developer - JavaScript/React.js,"Patch Infotech Private LimitedAnywhere in India/Multiple Locations
1 - 8 Years",Anywhere in India/Multiple Locations,0,"React, HTML/CSS, JS",Not Ideal,,
https://www.hirist.com/j/pitstop-frontend-developer-reactjsjavascript-1-6-yrs-1005067.html,Pitstop - Frontend Developer - React.js/Javascript,"PitstopOthers
1 - 6 Years",Others,1,"ReactJS, JS",Ideal,,
https://www.hirist.com/j/servosys-solutions-full-stack-developer-backend-frontend-technologies-0-10-yrs-1005285.html,Servosys Solutions - Full Stack Developer - Backend & Frontend Technologies,"Servosys SolutionsMultiple Locations
0 - 10 Years",Multiple Locations,0,"React, Angular, HTML/CSS, JS, Node",Not Ideal,,
https://www.hirist.com/j/vamstar-software-engineer-frontend-technologies-1-6-yrs-1004127.html,Vamstar - Software Engineer - Frontend Technologies,"VamstarJaipur
1 - 6 Years",Jaipur,2,"ReactJS, HTML/CSS, JS",Not Ideal,,
https://www.hirist.com/j/vinsol-frontend-designer-htmlcssjavascript-1-5-yrs-1005437.html,Vinsol - Frontend Designer - HTML/CSS/Javascript,"VinSolMultiple Locations
1 - 5 Years",Multiple Locations,1,"Angular, HTML/CSS, JS, PHP, .NET",Not Ideal,,
https://www.hirist.com/j/bikayi-software-engineer-backend-frontend-technologies-0-3-yrs-1005379.html,Bikayi - Software Engineer - Backend & Frontend Technologies,"BikayiBangalore
0 - 3 Years",Bangalore,2,"ReactJS, Angular, HTML/CSS, Node",Not Ideal,,
https://www.hirist.com/j/mudracircle-uiuxfrontend-designer-htmlcss-0-1-yrs-1004389.html,MudraCircle - UI/UX/Frontend Designer - HTML/CSS,"MudraCircle.com/CashXL FinTechMultiple Locations
0 - 1 Years",Multiple Locations,0,"Angular, HTML/CSS, JS",Not Ideal,,
https://www.hirist.com/j/javascript-developer-html5css3-1-4-yrs-1005458.html,Javascript Developer - HTML5/CSS3,"AwignAny Location
1 - 4 Years",Any Location,1,"React, Angular, HTML/CSS, JS",Not Ideal,,
https://www.hirist.com/j/mudracircle-flutter-mobile-application-developer-androidios-0-5-yrs-1004384.html,MudraCircle - Flutter Mobile Application Developer - Android/iOS,"MudraCircle.com/CashXL FinTechMumbai
0 - 5 Years",Mumbai,0,"ReactJS, JS",Ideal,,
https://www.hirist.com/j/cashxl-fintech-flutter-mobile-application-developer-androidios-0-10-yrs-1004398.html,CashXL Fintech - Flutter Mobile Application Developer - Android/iOS,"CashXL Fintech Private LimitedMultiple Locations
0 - 10 Years",Multiple Locations,2,"ReactJS, JS",Not Ideal,,
https://www.hirist.com/j/zapbuild-software-engineer-ruby-on-rails-1-3-yrs-1004482.html,Zapbuild - Software Engineer - Ruby On Rails,"Zapbuild Technologies Pvt.Ltd.Chandigarh
1 - 3 Years",Chandigarh,1,"ReactJS, Angular, HTML/CSS, JS",Not Ideal,8699036663,
https://www.hirist.com/j/orahi-react-developer-fluxreduxjavascript-1-3-yrs-1005190.html,Orahi - React Developer - Flux/Redux/Javascript,"Phonon Solutons Pvt LtdGurgaon/Gurugram
1 - 3 Years",Gurgaon/Gurugram,1,"ReactJS, HTML/CSS, JS",Ideal,,
https://www.hirist.com/j/software-developer-pythondjangoreactjs-1-4-yrs-1004873.html,Software Developer - Python/Django/React.js,"BenchireMultiple Locations
1 - 4 Years",Multiple Locations,2,"React, HTML/CSS, JS, Python",Not Ideal,,
https://www.hirist.com/j/ios-developersenior-developer-swiftobjective-c-1-8-yrs-1004670.html,iOS Developer/Senior Developer - SWIFT/Objective C,"Yo HR ConsultancyBangalore
1 - 8 Years",Bangalore,1,,Not Ideal,,
https://www.hirist.com/j/ui-developer-senior-web-developer-javascript-frameworks-1-7-yrs-1003778.html,UI Developer - Senior Web Developer - Javascript Frameworks,"The Modern DimensionBangalore
1 - 7 Years",Bangalore,2,"React, Angular, HTML/CSS, JS, Node",Not Ideal,,
https://www.hirist.com/j/golang-developer-1-8-yrs-1004102.html,Golang Developer,"SquarerootBangalore
1 - 8 Years",Bangalore,1,Python,Not Ideal,,
https://www.hirist.com/j/cateina-technologies-iib-developer-1-3-yrs-1005331.html,Cateina Technologies - IIB Developer,"Cateina TechologiesMumbai
1 - 3 Years",Mumbai,0,"Angular, JS, Node",Not Ideal,,
https://www.hirist.com/j/tracxn-google-workspace-developer-0-1-yrs-1004158.html,Tracxn - Google Workspace Developer,"TracxnBangalore
0 - 1 Years",Bangalore,0,"HTML/CSS, JS",Ideal,,
https://www.hirist.com/j/altworld-backend-developer-golang-1-8-yrs-1004039.html,AltWorld - Backend Developer - Golang,"AltWorldBangalore
1 - 8 Years",Bangalore,3,,Not Ideal,,
https://www.hirist.com/j/backend-developer-nodejs-1-10-yrs-1004040.html,Backend Developer - Node.js,"Patch Infotech Private LimitedAnywhere in India/Multiple Locations
1 - 10 Years",Anywhere in India/Multiple Locations,0,"JS, Node",Not Ideal,,
https://www.hirist.com/j/infometry-salesforce-developer-apex-0-1-yrs-1005110.html,Infometry - Salesforce Developer - Apex,"InfometryBangalore
0 - 1 Years",Bangalore,0,.NET,Not Ideal,8247277422,
https://www.hirist.com/j/quantsapp-angular-developer-1-4-yrs-1004225.html,Quantsapp - Angular Developer,"Quantsapp Pvt. Ltd.Mumbai
1 - 4 Years",Mumbai,2,Angular,Not Ideal,,
https://www.hirist.com/j/intelizest-java-developer-dbms-1-3-yrs-1005320.html,Intelizest - Java Developer - DBMS,"Intelizest Consulting Pvt LtdChennai
1 - 3 Years",Chennai,1,,Not Ideal,,
https://www.hirist.com/j/zapbuild-react-native-developer-1-4-yrs-1004484.html,Zapbuild - React Native Developer,"Zapbuild Technologies Pvt.Ltd.Multiple Locations
1 - 4 Years",Multiple Locations,1,"React, JS, Node",Not Ideal,,
https://www.hirist.com/j/splashlearn-game-developer-cocos2d-1-6-yrs-1005031.html,SplashLearn - Game Developer - Cocos2D,"SplashLearnGurgaon/Gurugram
1 - 6 Years",Gurgaon/Gurugram,0,C/C++,Not Ideal,,
https://www.hirist.com/j/web-developer-phplaravel-1-5-yrs-1004969.html,Web Developer - PHP/Laravel,"Connect Infosoft Technologies Pvt LimitedMultiple Locations
1 - 5 Years",Multiple Locations,1,"HTML/CSS, JS, PHP",Not Ideal,,
https://www.hirist.com/j/iosandroid-developer-1-6-yrs-1004329.html,iOS/Android Developer,"QuesthiringGurgaon/Gurugram
1 - 6 Years",Gurgaon/Gurugram,5,React,Not Ideal,,
https://www.hirist.com/j/nodejs-developer-javascriptangularjs-1-5-yrs-1004972.html,Node.js Developer - Javascript/AngularJS,"Connect Infosoft Technologies Pvt LimitedMultiple Locations
1 - 5 Years",Multiple Locations,0,"React, Angular, HTML/CSS, JS, Node",Not Ideal,,
https://www.hirist.com/j/nodejs-developer-angularjsreactjs-1-4-yrs-1004012.html,Node.js Developer - AngularJS/React.js,"Freebirds CounsultingMumbai
1 - 4 Years",Mumbai,2,"ReactJS, Angular, HTML/CSS, JS, Node",Not Ideal,,
https://www.hirist.com/j/nodejs-developer-mongodbmysql-1-5-yrs-1005412.html,Node.js Developer - MongoDB/MySQL,"QuesthiringGurgaon/Gurugram
1 - 5 Years",Gurgaon/Gurugram,1,Node,Not Ideal,,
https://www.hirist.com/j/angular-developer-javascripttypescript-0-1-yrs-1005421.html,Angular Developer - Javascript/TypeScript,"Softmind InfoetchDelhi NCR
0 - 1 Years",Delhi NCR,0,"Angular, HTML/CSS, JS",Not Ideal,,
https://www.hirist.com/j/php-developer-zendcodeigniter-1-3-yrs-1003908.html,PHP Developer - Zend/CodeIgniter,"Altimax Business SolutionsDelhi NCR
1 - 3 Years",Delhi NCR,1,"HTML/CSS, JS, PHP",Not Ideal,,
https://www.hirist.com/j/flutter-developer-iosandroid-1-3-yrs-1004644.html,Flutter Developer - iOS/Android,"Wingshield Technologies Private LimitedMultiple Locations
1 - 3 Years",Multiple Locations,0,,Not Ideal,,
https://www.hirist.com/j/reactjs-developer-javascript-1-4-yrs-1004104.html,React.js Developer - Javascript,"SquarerootBangalore
1 - 4 Years",Bangalore,1,"ReactJS, JS",Ideal,,
https://www.hirist.com/j/software-developer-javascriptazure-1-3-yrs-1004666.html,Software Developer - Javascript/Azure,"Spica SystemsKolkata
1 - 3 Years",Kolkata,1,"ReactJS, JS",Ideal,,
https://www.hirist.com/j/php-developer-web-apps-1-8-yrs-1005359.html,PHP Developer - Web Apps,"Digital Design SolutionGurgaon/Gurugram
1 - 8 Years",Gurgaon/Gurugram,2,"HTML/CSS, JS, PHP",Not Ideal,,
https://www.hirist.com/j/chatbot-developer-nlpnlu-apps-1-4-yrs-1005130.html,Chatbot Developer - NLP/NLU Apps,"ProPMO Services Private LimitedMultiple Locations
1 - 4 Years",Multiple Locations,1,"JS, Python",Not Ideal,,
https://www.hirist.com/j/mudracircle-ios-android-developer-javaobjective-c-1-2-yrs-1004390.html,MudraCircle - iOS & Android Developer - Java/Objective C,"MudraCircle.com/CashXL FinTechMumbai
1 - 2 Years",Mumbai,0,,Not Ideal,,
https://www.hirist.com/j/junior-backend-developer-golangpython-1-5-yrs-1004376.html,Junior Backend Developer - Golang/Python,"futuremugCochin/Kochi
1 - 5 Years",Cochin/Kochi,1,"React, JS, Python",Not Ideal,,
https://www.hirist.com/j/backend-developer-java-elastic-searchcassandra-1-8-yrs-1003782.html,Backend Developer - Java - Elastic Search/Cassandra,"The Modern DimensionBangalore
1 - 8 Years",Bangalore,3,,Not Ideal,,
https://www.hirist.com/j/immersive-studio-flutter-developer-internship-1-2-yrs-1005298.html,Immersive Studio - Flutter Developer - Internship,"Swevens Immersive Studio Pvt LtdMultiple Locations
1 - 2 Years",Multiple Locations,0,,Not Ideal,,
https://www.hirist.com/j/cnet-developer-aspsql-server-0-2-yrs-1004512.html,C#/.Net Developer - ASP/SQL Server,"DevOpsGrindChennai
0 - 2 Years",Chennai,0,"Angular, .NET",Not Ideal,,
https://www.hirist.com/j/brancosoft-php-developer-lampwamp-stack-1-2-yrs-1004544.html,Brancosoft - PHP Developer - LAMP/WAMP Stack,"Brancosoft Pvt LtdMultiple Locations
1 - 2 Years",Multiple Locations,0,"Angular, HTML/CSS, JS, Python, PHP",Not Ideal,,
https://www.hirist.com/j/quantsapp-android-developer-javasdk-1-4-yrs-1004218.html,Quantsapp - Android Developer - Java/SDK,"Quantsapp Pvt. Ltd.Mumbai
1 - 4 Years",Mumbai,1,JS,Ideal,,
https://www.hirist.com/j/full-stack-developer-reactjsangularjs-0-2-yrs-1004585.html,Full Stack Developer - React.js/AngularJS,"SemperfiBangalore
0 - 2 Years",Bangalore,0,"ReactJS, Angular, HTML/CSS, JS, Node",Not Ideal,,
https://www.hirist.com/j/kabra-logitech-software-developer-nodejs-0-1-yrs-1005356.html,Kabra Logitech - Software Developer - Node.js,"Kabra Logitech Pvt LtdAhmedabad
0 - 1 Years",Ahmedabad,1,"HTML/CSS, JS, Node",Not Ideal,,
https://www.hirist.com/j/dolat-capital-python-developer-algorithmic-trading-0-5-yrs-1004845.html,Dolat Capital - Python Developer - Algorithmic Trading,"Dolat Capital Market Private LimitedMumbai
0 - 5 Years",Mumbai,0,Python,Not Ideal,,
https://www.hirist.com/j/vinsol-javascript-developer-reactjsredux-1-4-yrs-1005435.html,Vinsol - Javascript Developer - React.js/Redux,"VinSolMultiple Locations
1 - 4 Years",Multiple Locations,1,"ReactJS, HTML/CSS, JS",Ideal,,
https://www.hirist.com/j/vinsol-full-stack-developer-ruby-on-rails-1-5-yrs-1005440.html,Vinsol - Full Stack Developer - Ruby on Rails,"VinSolAny Location
1 - 5 Years",Any Location,0,"React, Angular, HTML/CSS, JS",Not Ideal,,
https://www.hirist.com/j/vinsol-net-developer-cmvcsql-server-1-5-yrs-1005439.html,Vinsol - .Net Developer - C#/MVC/SQL Server,"VinSolMultiple Locations
1 - 5 Years",Multiple Locations,1,.NET,Not Ideal,,
https://www.hirist.com/j/software-developer-aspnetmvc-1-5-yrs-1005103.html,Software Developer - ASP/.Net/MVC,"ProPMO Services Private LimitedMultiple Locations
1 - 5 Years",Multiple Locations,0,"Angular, HTML/CSS, JS, .NET",Not Ideal,,
https://www.hirist.com/j/leuwint-technologies-java-developer-j2eejspservlets-0-1-yrs-1004355.html,Leuwint Technologies - Java Developer - J2EE/JSP/Servlets,"Leuwint TechnologiesMultiple Locations
0 - 1 Years",Multiple Locations,0,"HTML/CSS, JS",Ideal,,
https://www.hirist.com/j/number-theory-java-developer-web-apps-1-2-yrs-1004853.html,Number Theory - Java Developer - Web Apps,"Number TheoryGurgaon/Gurugram
1 - 2 Years",Gurgaon/Gurugram,1,Python,Not Ideal,,
https://www.hirist.com/j/react-native-developer-android-apps-1-4-yrs-1004860.html,React Native Developer - Android Apps,"Search CatalystGurgaon/Gurugram
1 - 4 Years",Gurgaon/Gurugram,1,"ReactJS, JS",Ideal,,
https://www.hirist.com/j/gm-ware-jquery-developer-javascripthtml-0-3-yrs-1004859.html,GM WARE - jQuery Developer - Javascript/HTML,"GM WAREOthers
0 - 3 Years",Others,0,"HTML/CSS, JS",Ideal,,
https://www.hirist.com/j/mern-stack-developer-nodejsreactjs-1-8-yrs-1004041.html,MERN Stack Developer - Node.js/React.js,"Patch Infotech Private LimitedAnywhere in India/Multiple Locations
1 - 8 Years",Anywhere in India/Multiple Locations,0,HTML/CSS,Ideal,,
https://www.hirist.com/j/mudracircle-software-developer-web-portal-development-management-0-5-yrs-1004385.html,MudraCircle - Software Developer - Web Portal Development & Management,"MudraCircle.com/CashXL FinTechMumbai
0 - 5 Years",Mumbai,1,PHP,Not Ideal,,
https://www.hirist.com/j/magicpin-android-developer-javasdkrestful-api-1-4-yrs-1004303.html,Magicpin - Android Developer - Java/SDK/RESTful API,"MagicpinGurgaon/Gurugram
1 - 4 Years",Gurgaon/Gurugram,0,,Not Ideal,,
https://www.hirist.com/j/techmind-react-native-developer-mobile-applications-1-4-yrs-1004129.html,Techmind - React Native Developer - Mobile Applications,"Techmind SoftwaresChandigarh
1 - 4 Years",Chandigarh,0,React,Not Ideal,,
https://www.hirist.com/j/full-stack-developer-reactjsreactnativenodejs-0-4-yrs-1004971.html,Full Stack Developer - React.js/ReactNative/Node.js,"Connect Infosoft Technologies Pvt LimitedFaridabad
0 - 4 Years",Faridabad,4,"ReactJS, JS, Node",Not Ideal,,
https://www.hirist.com/j/net-developer-caspmvc-1-6-yrs-1005397.html,.Net Developer - C#/ASP/MVC,"Recrutement.inAnywhere in India/Multiple Locations
1 - 6 Years",Anywhere in India/Multiple Locations,6,.NET,Not Ideal,,
https://www.hirist.com/j/root-info-solutions-reactjs-developer-javascriptes6-1-5-yrs-1004864.html,Root Info Solutions - React.js Developer - Javascript/ES6,"Root Info SolutionsJaipur
1 - 5 Years",Jaipur,3,"ReactJS, Angular, HTML/CSS, JS",Not Ideal,,
https://www.hirist.com/j/intelizest-angular-developer-html5css3-1-3-yrs-1005322.html,Intelizest - Angular Developer - HTML5/CSS3,"Intelizest Consulting Pvt LtdChennai
1 - 3 Years",Chennai,1,"Angular, HTML/CSS, JS",Not Ideal,,
https://www.hirist.com/j/sciflare-technologies-android-developer-javakotlin-0-2-yrs-1005247.html,Sciflare Technologies - Android Developer - Java/Kotlin,"Sciflare TechnologiesChennai
0 - 2 Years",Chennai,0,"JS, Python, Node, .NET",Not Ideal,,
https://www.hirist.com/j/easyres-full-stack-developer-angularjstypescript-1-3-yrs-1004912.html,EasyRes - Full Stack Developer - AngularJS/TypeScript,"Easyres Travel Technologies Pvt. LtdDelhi NCR
1 - 3 Years",Delhi NCR,2,"Angular, JS",Not Ideal,,
https://www.hirist.com/j/ascend-capital-full-stack-developer-application-designing-1-5-yrs-1004461.html,Ascend Capital - Full Stack Developer - Application Designing,"Ascend CapitalJaipur
1 - 5 Years",Jaipur,3,"Python, Node",Not Ideal,,
https://www.hirist.com/j/react-native-developer-mobile-app-designing-1-3-yrs-1005169.html,React Native Developer - Mobile App Designing,"Growth Maximisers Private LimitedOthers
1 - 3 Years",Others,0,React,Not Ideal,,
https://www.hirist.com/j/knowlarity-communication-python-developer-mysqlscripting-1-4-yrs-1004435.html,Knowlarity Communication - Python Developer - MySQL/Scripting,"Knowlarity CommunicationGurgaon/Gurugram
1 - 4 Years",Gurgaon/Gurugram,1,Python,Not Ideal,,
https://www.hirist.com/j/sciflare-technologies-android-developer-mobile-app-designing-1-4-yrs-1005246.html,Sciflare Technologies - Android Developer - Mobile App Designing,"Sciflare TechnologiesOthers
1 - 4 Years",Others,0,"JS, Python, Node, .NET",Not Ideal,,
https://www.hirist.com/j/pitstop-backend-developer-pythondjango-1-7-yrs-1005165.html,Pitstop - Backend Developer - Python/Django,"PitstopOthers
1 - 7 Years",Others,2,Python,Not Ideal,,
https://www.hirist.com/j/mudracircle-senior-software-developer-phpmysql-0-4-yrs-1004383.html,MudraCircle - Senior Software Developer - PHP/MySQL,"MudraCircle.com/CashXL FinTechMumbai
0 - 4 Years",Mumbai,0,"HTML/CSS, JS, PHP",Not Ideal,,
https://www.hirist.com/j/reactjs-developer-fluxreduxjavascript-0-1-yrs-1005304.html,React.js Developer - Flux/Redux/Javascript,"Softmind InfoetchMultiple Locations
0 - 1 Years",Multiple Locations,0,"ReactJS, HTML/CSS, JS",Ideal,,
https://www.hirist.com/j/gloify-ios-developer-objective-cswift-1-4-yrs-1004333.html,Gloify - iOS Developer - Objective C/SWIFT,"GloifyBangalore
1 - 4 Years",Bangalore,1,,Not Ideal,,
https://www.hirist.com/j/idesignmarket-backend-developer-nodejsmongodb-1-3-yrs-1004781.html,iDesign.Market - Backend Developer - Node.js/MongoDB,"iDesign.MarketAny Location
1 - 3 Years",Any Location,2,"JS, Node",Not Ideal,,
https://www.hirist.com/j/full-stack-developer-reactjsnodejs-1-7-yrs-1004712.html,Full Stack Developer - React.js/Node.js,"WITS Innovation LabsAny Location
1 - 7 Years",Any Location,0,"ReactJS, PHP, Node",Not Ideal,,
https://www.hirist.com/j/sciflare-technologies-angularreactjs-developer-1-4-yrs-1005245.html,Sciflare Technologies - Angular/React.js Developer,"Sciflare TechnologiesChennai
1 - 4 Years",Chennai,0,"ReactJS, Angular, HTML/CSS, JS, PHP, Node",Not Ideal,,
https://www.hirist.com/j/ios-developer-mobile-app-architecture-1-3-yrs-1004706.html,iOS Developer - Mobile App Architecture,"DIATOZ Solutions Pvt ltd.,Guwahati
1 - 3 Years",Guwahati,0,"React, C/C++",Not Ideal,,
https://www.hirist.com/j/mernfull-stack-developer-cicd-framework-1-8-yrs-1004778.html,MERN/Full Stack Developer - CI/CD Framework,"Dexndot Solutions Pvt LtdBangalore
1 - 8 Years",Bangalore,3,"ReactJS, HTML/CSS, JS, Node",Not Ideal,,
https://www.hirist.com/j/flutter-developer-mobile-app-designing-1-3-yrs-1005278.html,Flutter Developer - Mobile App Designing,"Graphhene InfotechNoida
1 - 3 Years",Noida,0,Angular,Not Ideal,,
https://www.hirist.com/j/instabill-android-developer-mobile-app-designing-1-2-yrs-1003995.html,INSTABILL - Android Developer - Mobile App Designing,"Dutchuncle Tech SoutionNoida
1 - 2 Years",Noida,0,,Not Ideal,,
